Name,Category,Base Price,Photo
Rohit Sharma,Batsman,100,https://i.pravatar.cc/200?img=1
Virat Kohli,Batsman,100,https://i.pravatar.cc/200?img=2
Shubman Gill,Batsman,50,https://i.pravatar.cc/200?img=3
Yashasvi Jaiswal,Batsman,40,https://i.pravatar.cc/200?img=4
Shreyas Iyer,Batsman,30,https://i.pravatar.cc/200?img=5
Ruturaj Gaikwad,Batsman,30,https://i.pravatar.cc/200?img=6
Suryakumar Yadav,Batsman,75,https://i.pravatar.cc/200?img=7
Sai Sudharsan,Batsman,20,https://i.pravatar.cc/200?img=8
Devdutt Padikkal,Batsman,20,https://i.pravatar.cc/200?img=9
Prithvi Shaw,Batsman,15,https://i.pravatar.cc/200?img=10
Tilak Varma,Batsman,25,https://i.pravatar.cc/200?img=11
Rajat Patidar,Batsman,20,https://i.pravatar.cc/200?img=12
Rinku Singh,Batsman,25,https://i.pravatar.cc/200?img=13
Abhishek Sharma,Batsman,20,https://i.pravatar.cc/200?img=14
Sarfaraz Khan,Batsman,20,https://i.pravatar.cc/200?img=15
Ishan Kishan,Batsman,30,https://i.pravatar.cc/200?img=16
KL Rahul,Batsman,60,https://i.pravatar.cc/200?img=17
Mayank Agarwal,Batsman,15,https://i.pravatar.cc/200?img=18
Sanju Samson,Batsman,40,https://i.pravatar.cc/200?img=19
Rahul Tripathi,Batsman,15,https://i.pravatar.cc/200?img=20
Jasprit Bumrah,Bowler,100,https://i.pravatar.cc/200?img=21
Mohammed Shami,Bowler,60,https://i.pravatar.cc/200?img=22
Mohammed Siraj,Bowler,50,https://i.pravatar.cc/200?img=23
Bhuvneshwar Kumar,Bowler,30,https://i.pravatar.cc/200?img=24
Arshdeep Singh,Bowler,40,https://i.pravatar.cc/200?img=25
Umran Malik,Bowler,25,https://i.pravatar.cc/200?img=26
Prasidh Krishna,Bowler,20,https://i.pravatar.cc/200?img=27
Mukesh Kumar,Bowler,15,https://i.pravatar.cc/200?img=28
Tushar Deshpande,Bowler,15,https://i.pravatar.cc/200?img=29
Avesh Khan,Bowler,20,https://i.pravatar.cc/200?img=30
Kuldeep Yadav,Bowler,40,https://i.pravatar.cc/200?img=31
Yuzvendra Chahal,Bowler,30,https://i.pravatar.cc/200?img=32
Ravi Bishnoi,Bowler,25,https://i.pravatar.cc/200?img=33
Varun Chakravarthy,Bowler,20,https://i.pravatar.cc/200?img=34
Rahul Chahar,Bowler,15,https://i.pravatar.cc/200?img=35
Sandeep Sharma,Bowler,10,https://i.pravatar.cc/200?img=36
Navdeep Saini,Bowler,10,https://i.pravatar.cc/200?img=37
Jaydev Unadkat,Bowler,10,https://i.pravatar.cc/200?img=38
Akash Deep,Bowler,15,https://i.pravatar.cc/200?img=39
Yash Dayal,Bowler,15,https://i.pravatar.cc/200?img=40
Hardik Pandya,All-Rounder,90,https://i.pravatar.cc/200?img=41
Ravindra Jadeja,All-Rounder,80,https://i.pravatar.cc/200?img=42
Axar Patel,All-Rounder,40,https://i.pravatar.cc/200?img=43
Shardul Thakur,All-Rounder,30,https://i.pravatar.cc/200?img=44
Washington Sundar,All-Rounder,25,https://i.pravatar.cc/200?img=45
Venkatesh Iyer,All-Rounder,20,https://i.pravatar.cc/200?img=46
Vijay Shankar,All-Rounder,15,https://i.pravatar.cc/200?img=47
Deepak Hooda,All-Rounder,20,https://i.pravatar.cc/200?img=48
Krunal Pandya,All-Rounder,15,https://i.pravatar.cc/200?img=49
Shahbaz Ahmed,All-Rounder,15,https://i.pravatar.cc/200?img=50
Nitish Rana,All-Rounder,15,https://i.pravatar.cc/200?img=51
Rahul Tewatia,All-Rounder,20,https://i.pravatar.cc/200?img=52
Lalit Yadav,All-Rounder,10,https://i.pravatar.cc/200?img=53
Riyan Parag,All-Rounder,25,https://i.pravatar.cc/200?img=54
Shivam Dube,All-Rounder,30,https://i.pravatar.cc/200?img=55
Rishabh Pant,Wicket-Keeper,80,https://i.pravatar.cc/200?img=56
Dinesh Karthik,Wicket-Keeper,30,https://i.pravatar.cc/200?img=57
Wriddhiman Saha,Wicket-Keeper,15,https://i.pravatar.cc/200?img=58
Jitesh Sharma,Wicket-Keeper,15,https://i.pravatar.cc/200?img=59
KS Bharat,Wicket-Keeper,10,https://i.pravatar.cc/200?img=60
Dhruv Jurel,Wicket-Keeper,20,https://i.pravatar.cc/200?img=61
Sheldon Jackson,Wicket-Keeper,10,https://i.pravatar.cc/200?img=62
Upendra Yadav,Wicket-Keeper,10,https://i.pravatar.cc/200?img=63
Srikar Bharat,Wicket-Keeper,10,https://i.pravatar.cc/200?img=64
Anuj Rawat,Wicket-Keeper,10,https://i.pravatar.cc/200?img=65
Smriti Mandhana,Female,75,https://i.pravatar.cc/200?img=32
Harmanpreet Kaur,Female,60,https://i.pravatar.cc/200?img=44
Shafali Verma,Female,40,https://i.pravatar.cc/200?img=26
Deepti Sharma,Female,30,https://i.pravatar.cc/200?img=20
Jemimah Rodrigues,Female,35,https://i.pravatar.cc/200?img=36
Richa Ghosh,Female,25,https://i.pravatar.cc/200?img=48
Pooja Vastrakar,Female,25,https://i.pravatar.cc/200?img=28
Renuka Singh,Female,20,https://i.pravatar.cc/200?img=38
Radha Yadav,Female,15,https://i.pravatar.cc/200?img=16
Sneh Rana,Female,15,https://i.pravatar.cc/200?img=46
Dayalan Hemalatha,Female,10,https://i.pravatar.cc/200?img=24
Yastika Bhatia,Female,15,https://i.pravatar.cc/200?img=34
Meghna Singh,Female,10,https://i.pravatar.cc/200?img=42
Taniya Bhatia,Female,10,https://i.pravatar.cc/200?img=22
Sabbhineni Meghana,Female,10,https://i.pravatar.cc/200?img=40
Sachin Tendulkar,50+,50,https://i.pravatar.cc/200?img=52
Virender Sehwag,50+,40,https://i.pravatar.cc/200?img=54
Yuvraj Singh,50+,35,https://i.pravatar.cc/200?img=55
Harbhajan Singh,50+,25,https://i.pravatar.cc/200?img=57
Zaheer Khan,50+,25,https://i.pravatar.cc/200?img=58
Ashish Nehra,50+,20,https://i.pravatar.cc/200?img=59
Irfan Pathan,50+,20,https://i.pravatar.cc/200?img=60
Ajit Agarkar,50+,15,https://i.pravatar.cc/200?img=62
Javagal Srinath,50+,15,https://i.pravatar.cc/200?img=64
Venkatesh Prasad,50+,10,https://i.pravatar.cc/200?img=66
Yashasvi Desai,Under-19,15,https://i.pravatar.cc/200?img=67
Arjun Tendulkar,Under-19,10,https://i.pravatar.cc/200?img=68
Rajvardhan Hangargekar,Under-19,20,https://i.pravatar.cc/200?img=69
Ravi Kumar,Under-19,10,https://i.pravatar.cc/200?img=70
Nishant Sindhu,Under-19,10,https://i.pravatar.cc/200?img=51
Raj Bawa,Under-19,15,https://i.pravatar.cc/200?img=53
Vicky Ostwal,Under-19,10,https://i.pravatar.cc/200?img=47
Aneeshwar Gautam,Under-19,10,https://i.pravatar.cc/200?img=43
Kaushal Tambe,Under-19,10,https://i.pravatar.cc/200?img=45
Dewald Brevis,Under-19,25,https://i.pravatar.cc/200?img=49
